Abbreviation,Taxonomy ID,relevant taxonomy,Scientific name,Lineage.set,BUSCO_completeness,BUSCO_single,BUSCO_duplicated,BUSCO_fragmented,BUSCO_missing,PreLECASubset,Download location,Ref,Download date proteome,fasta_header_type,proteome_fasta_file,Genome/transcriptome,Genome_location,SMC2,SMC4,CAPH,CAPG,CAPD2,CAPH2,CAPG2,CAPD3,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,WAPL,Eco1,Securin,Sororin,Haspin,Shugoshin,Separase,CTCF,SMC5,SMC6,Nse4,Nse1,Nse3,Nse2,Nse5,Nse6
BASMER,1357683,Opisthokonta,Basidiobolus meristosporus B9252,eukaryota_odb42,98.27586207,,,1.034482759,0.6896551724,False,http://genome.jgi.doe.gov/Basme2finSC/download/Basme2finSC_GeneCatalog_proteins_20150701.aa.fasta.gz,,20220419,jgi,Basme2finSC_GeneCatalog_proteins_20150701.aa.fasta,genome,http://genome.jgi.doe.gov/Basme2finSC,BASMER013058,,BASMER004397;BASMER003196,BASMER015301,BASMER009451;BASMER013765,,,,BASMER010078;BASMER010349,BASMER005663,BASMER000187,BASMER015026,BASMER003956,BASMER002400,BASMER002777,BASMER008362,BASMER004898;BASMER002614,BASMER003954;BASMER001834,BASMER016070,BASMER005189;BASMER014004,,,BASMER000108,,BASMER003639,,BASMER006102,BASMER010092,BASMER013734,BASMER010023,BASMER007717,BASMER006594;BASMER006490
RHIIRR,588596,Opisthokonta,Rhizophagus irregularis,eukaryota_odb43,94.96124031,,,1.937984496,3.100775194,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/145/GCA_000439145.3_ASM43914v3/GCA_000439145.3_ASM43914v3_protein.faa.gz,,20220419,gcf,GCA_000439145.3_ASM43914v3_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/145/GCA_000439145.3_ASM43914v3/GCA_000439145.3_ASM43914v3_genomic.fna.gz,RHIIRR023193,RHIIRR013128;RHIIRR013127;RHIIRR013129,RHIIRR025534,RHIIRR014916,RHIIRR020166,,,,RHIIRR022454,RHIIRR011518;RHIIRR011519;RHIIRR011517,RHIIRR017216,RHIIRR024892;RHIIRR024891,RHIIRR021226,RHIIRR003815,RHIIRR011443,RHIIRR023939,RHIIRR019555;RHIIRR019554,RHIIRR025337,RHIIRR025310,,RHIIRR003273,RHIIRR022900,RHIIRR021661,,RHIIRR022968,RHIIRR012620;RHIIRR012619,RHIIRR012446,RHIIRR021665,RHIIRR010727,RHIIRR018817,RHIIRR016102,RHIIRR021214
USTMAY,5270,Opisthokonta,Ustilago maydis,eukaryota_odb44,98.82352941,,,0.3921568627,0.7843137255,False,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/ustilago_maydis/pep/Ustilago_maydis.Umaydis521_2.0.pep.all.fa.gz,,euk4,ensembl,Ustilago_maydis.Umaydis521_2.0.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/ustilago_maydis/dna/Ustilago_maydis.Umaydis521_2.0.dna.toplevel.fa.gz,USTMAY003635,USTMAY000920,USTMAY000308,USTMAY002561,USTMAY003116,,,,USTMAY001032,USTMAY000698,USTMAY003163,USTMAY002260,USTMAY001208,USTMAY005075,USTMAY000050,,USTMAY001889,USTMAY001154,USTMAY006729,,USTMAY002935,USTMAY005600,USTMAY001050,,USTMAY006283,USTMAY002856,USTMAY005168,USTMAY005479,USTMAY004828,USTMAY002889,USTMAY004707,USTMAY006629
AGABIS,5341,Opisthokonta,Agaricus bisporus,eukaryota_odb45,96.51162791,,,1.550387597,1.937984496,False,https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Abisporus_varbisporusH97.v2.FilteredModels3.proteins.fasta.gz,https://www.pnas.org/doi/10.1073/pnas.1206847109,20220419,jgi,Abisporus_varbisporusH97.v2.FilteredModels3.proteins.fasta,genome,https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/Agabi_varbisH97_2.download.ftp.html,AGABIS009290,AGABIS000157,AGABIS005603,AGABIS007057;AGABIS007031,AGABIS005906,,,,AGABIS003999,AGABIS005856,AGABIS004583,AGABIS000580,AGABIS008037,AGABIS007527,AGABIS005956,AGABIS000049,AGABIS005270,AGABIS001804,AGABIS009945,,AGABIS009538,AGABIS002328,AGABIS007087,,AGABIS009627,AGABIS006053,AGABIS004742,,AGABIS009211,AGABIS006262,AGABIS004386,AGABIS004704
CRYNEO,5207,Opisthokonta,Cryptococcus neoformans,eukaryota_odb46,96.875,,,2.34375,0.78125,False,http://ftp.ensemblgenomes.org/pub/fungi/release-52/fasta/cryptococcus_neoformans/pep/Cryptococcus_neoformans.ASM9104v1.pep.all.fa.gz,,euk4,ensembl,Cryptococcus_neoformans.ASM9104v1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-52/fasta/cryptococcus_neoformans/dna/Cryptococcus_neoformans.ASM9104v1.dna.toplevel.fa.gz ,CRYNEO000755,CRYNEO006574,CRYNEO004479,CRYNEO002229,CRYNEO000008,,,,CRYNEO001122,CRYNEO005803,CRYNEO005495,CRYNEO004302,CRYNEO002010,CRYNEO006216,CRYNEO002056,CRYNEO004943,CRYNEO002150,CRYNEO003556,CRYNEO005090,,CRYNEO005766,CRYNEO005057,CRYNEO001313,,CRYNEO005887,CRYNEO005668,CRYNEO006824,CRYNEO005058,CRYNEO002742,CRYNEO005518,CRYNEO004100,CRYNEO002163
SCHPOM,4896,Opisthokonta,Schizosaccharomyces pombe,eukaryota_odb47,96.88715953,,,0.3891050584,2.723735409,False,http://ftp.ensemblgenomes.org/pub/fungi/release-52/fasta/schizosaccharomyces_pombe/pep/Schizosaccharomyces_pombe.ASM294v2.pep.all.fa.gz,,euk4,ensembl,Schizosaccharomyces_pombe.ASM294v2.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-52/fasta/schizosaccharomyces_pombe/dna/Schizosaccharomyces_pombe.ASM294v2.dna.toplevel.fa.gz,SCHPOM001484,SCHPOM000800,SCHPOM001322,SCHPOM001606,SCHPOM001613,,,,SCHPOM003633,SCHPOM003558,SCHPOM000912,SCHPOM004553,SCHPOM002590;SCHPOM000257,SCHPOM003712,SCHPOM000158,SCHPOM000391,SCHPOM003227,SCHPOM002001,SCHPOM002622,SCHPOM004232,SCHPOM002366,SCHPOM003305;SCHPOM004117,SCHPOM000744,,SCHPOM001893,SCHPOM001409,SCHPOM001644,SCHPOM002040,SCHPOM001567,SCHPOM002805,SCHPOM004287,SCHPOM003262
NEUCRA,5141,Opisthokonta,Neurospora crassa,eukaryota_odb48,94.90196078,,,0.3921568627,4.705882353,False,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_ascomycota2_collection/neurospora_crassa_gca_000786625/pep/Neurospora_crassa_gca_000786625.Neucr_trp3_1.pep.all.fa.gz,,euk4,ensembl,Neurospora_crassa_gca_000786625.Neucr_trp3_1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_ascomycota2_collection/neurospora_crassa_gca_000786625/dna/Neurospora_crassa_gca_000786625.Neucr_trp3_1.dna.toplevel.fa.gz,NEUCRA007078,NEUCRA011157,NEUCRA004982,NEUCRA001669,NEUCRA003016,,,,NEUCRA007017,NEUCRA009596,NEUCRA006903,NEUCRA009002,NEUCRA008721,NEUCRA006233,NEUCRA005723,NEUCRA007040,NEUCRA006476,NEUCRA004486,NEUCRA008677,NEUCRA011596,NEUCRA006215,NEUCRA003430,NEUCRA011486,,NEUCRA009775,NEUCRA008286,NEUCRA004703,NEUCRA010607,NEUCRA009978,NEUCRA000185,NEUCRA011387,NEUCRA010650
SACCER,4932,Opisthokonta,Saccharomyces cerevisiae,eukaryota_odb49,93.38521401,,,1.167315175,5.447470817,False,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/saccharomyces_cerevisiae/pep/Saccharomyces_cerevisiae.R64-1-1.pep.all.fa.gz,,euk4,ensembl,Saccharomyces_cerevisiae.R64-1-1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/saccharomyces_cerevisiae/dna/Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,SACCER001542,SACCER005571,SACCER000496,SACCER004412,SACCER005416,,,,SACCER004216,SACCER004354,SACCER000135,SACCER001629,SACCER002744,SACCER000505,SACCER004704,SACCER005845,SACCER004202,SACCER004774,SACCER000321,,SACCER002142;SACCER005023,SACCER005630,SACCER004443,,SACCER003335,SACCER000835,SACCER003935,SACCER002127,SACCER005644,SACCER006560,SACCER006642,SACCER001701
CHRPER,1932427,Opisthokonta,Chromosphaera perkinsii,eukaryota_odb50,92.578125,,,3.90625,3.515625,False,9362518,,20220419,generic,9362518,genome,https://figshare.com/ndownloader/files/9362509,CHRPER010662,CHRPER000185,CHRPER004742,CHRPER009173,CHRPER006861,CHRPER011861,CHRPER006883,CHRPER002539,CHRPER000901,CHRPER000613,CHRPER011299,CHRPER000064,CHRPER002834,CHRPER007059,CHRPER010015,CHRPER004040,CHRPER009200,CHRPER004823,CHRPER005920,,CHRPER008567,CHRPER003324,CHRPER012425,,CHRPER007717,CHRPER000982,CHRPER000757,CHRPER010456,CHRPER011676,CHRPER001718,CHRPER002507;CHRPER000905,CHRPER003999
CREFRA,470921,Opisthokonta,Creolimax fragrantissima,eukaryota_odb51,95.71984436,,,1.945525292,2.33463035,False,https://figshare.com/ndownloader/files/3328016,,euk4,generic,3328016,genome,https://figshare.com/articles/dataset/Creolimax_fragrantissima_genome_data/1403592?file=3328022,CREFRA000493,CREFRA001134,CREFRA005223,CREFRA001657,CREFRA003004,,,,CREFRA003876,CREFRA007285,CREFRA000469,CREFRA004884,CREFRA008492,CREFRA007742,CREFRA003562,CREFRA000381,CREFRA000920,CREFRA007006,CREFRA001655,CREFRA000233,CREFRA007046,CREFRA006688,CREFRA004109,,CREFRA005823,CREFRA003209,CREFRA000095,CREFRA004737,CREFRA003376,CREFRA000327,CREFRA001351,CREFRA006648
CAPOWC,192875,Opisthokonta,Capsaspora owczarzaki,eukaryota_odb52,93.8697318,,,2.298850575,3.831417625,True,ftp://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/protists_ichthyosporea1_collection/capsaspora_owczarzaki_atcc_30864/pep/Capsaspora_owczarzaki_atcc_30864.C_owczarzaki_V2.pep.all.fa.gz,,euk4,ensembl,Capsaspora_owczarzaki_atcc_30864.C_owczarzaki_V2.pep.all.fa,genome,ftp.ensemblgenomes.org/pub/protists/release-34/fasta/protists_ichthyosporea1_collection/capsaspora_owczarzaki_atcc_30864/dna/Capsaspora_owczarzaki_atcc_30864.C_owczarzaki_V2.dna.toplevel.fa.gz,CAPOWC003022,CAPOWC006949,CAPOWC000272,CAPOWC002594,CAPOWC007972,CAPOWC002118,CAPOWC003618,CAPOWC002238,CAPOWC003402,CAPOWC007189,CAPOWC004912,CAPOWC002388,CAPOWC006905,CAPOWC003750,CAPOWC007366,CAPOWC004881,CAPOWC002423,CAPOWC005622,CAPOWC009873,,CAPOWC008349,,CAPOWC009538,,CAPOWC005015,CAPOWC006358,CAPOWC002521,CAPOWC004958,CAPOWC005541,CAPOWC004195,CAPOWC003025,CAPOWC009960
DIAGRA,28014,Opisthokonta,Diaphanoeca grandis,eukaryota_odb53,92.27799228,,,3.088803089,4.633204633,False,EukProt,,20220328,eukprot,EP00040_Diaphanoeca_grandis.fasta,transcriptome,,DIAGRA027226,DIAGRA013154;DIAGRA013155,DIAGRA025280,DIAGRA015851;DIAGRA026115,DIAGRA034970,DIAGRA025578,DIAGRA021620,DIAGRA035348,DIAGRA035198,DIAGRA033645,DIAGRA031395;DIAGRA031396;DIAGRA034725,,DIAGRA032588,DIAGRA017209,DIAGRA033082;DIAGRA033090,,DIAGRA010130;DIAGRA010129;DIAGRA010132,DIAGRA012765;DIAGRA012766,DIAGRA007898,,DIAGRA009710,,DIAGRA002611;DIAGRA002879;DIAGRA007115;DIAGRA013763;DIAGRA042260,,DIAGRA018923,DIAGRA034331,DIAGRA004095,DIAGRA013787,DIAGRA039902,DIAGRA022372,DIAGRA021276,DIAGRA027679;DIAGRA027680;DIAGRA027678
MONBRE,81824,Opisthokonta,Monosiga brevicollis,eukaryota_odb54,78.82352941,,,7.450980392,13.7254902,False,http://ftp.ensemblgenomes.org/pub/protists/release-52/fasta/protists_choanoflagellida1_collection/monosiga_brevicollis_mx1_gca_000002865/pep/Monosiga_brevicollis_mx1_gca_000002865.V1.0.pep.all.fa.gz,,euk4,ensembl,Monosiga_brevicollis_mx1_gca_000002865.V1.0.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/protists/release-52/fasta/protists_choanoflagellida1_collection/monosiga_brevicollis_mx1_gca_000002865/dna/Monosiga_brevicollis_mx1_gca_000002865.V1.0.dna.toplevel.fa.gz,MONBRE008367,MONBRE009075;MONBRE008890,MONBRE003796,MONBRE006691,MONBRE002273,MONBRE001712,MONBRE005529,MONBRE005456,,MONBRE000206;MONBRE000108,MONBRE004702,MONBRE001086,MONBRE007546,MONBRE008775,MONBRE005786,,MONBRE003375,MONBRE003506,MONBRE002375,,MONBRE005530,,MONBRE001490,,MONBRE003714,MONBRE002959,MONBRE006059,MONBRE000056,,,,MONBRE001638
SALKVE,1924737,Opisthokonta,Salpingoeca kvevrii,eukaryota_odb55,95.05703422,,,2.661596958,2.281368821,True,EukProt,,20220328,eukprot,EP00050_Salpingoeca_kvevrii.fasta,transcriptome,,SALKVE022038,SALKVE023172,SALKVE017862,SALKVE000950,SALKVE017294,SALKVE020559,SALKVE016293,SALKVE019232,SALKVE018186,SALKVE015220,SALKVE012678,,SALKVE021050,SALKVE003043,SALKVE002539;SALKVE002541,,SALKVE014025,SALKVE001044;SALKVE001045,SALKVE020778;SALKVE020780,,SALKVE002478,,SALKVE016450,,SALKVE014210,SALKVE005000;SALKVE004996;SALKVE005004,SALKVE011435,SALKVE019346,SALKVE014232,SALKVE022335,SALKVE021333,SALKVE003534
LEUCOM,433461,Opisthokonta,Leucosolenia complicata,eukaryota_odb56,95.48611111,,,2.430555556,2.083333333,False,https://datadryad.org/stash/downloads/file_stream/7883,,20220419,generic,7883,genome,https://datadryad.org/stash/downloads/file_stream/7883,LEUCOM025452;LEUCOM001931,LEUCOM026555;LEUCOM005272;LEUCOM010718;LEUCOM044763;LEUCOM035896;LEUCOM088618,LEUCOM082857;LEUCOM074124;LEUCOM001211,LEUCOM022900;LEUCOM008623,LEUCOM037490;LEUCOM020195;LEUCOM016754,LEUCOM031715,LEUCOM081165;LEUCOM017360,LEUCOM089778;LEUCOM028490,LEUCOM074988;LEUCOM033779;LEUCOM062131;LEUCOM001475,LEUCOM064998;LEUCOM082219;LEUCOM032579,LEUCOM057896;LEUCOM064395,LEUCOM028327;LEUCOM037929,LEUCOM028642;LEUCOM085663,LEUCOM047262,LEUCOM013704;LEUCOM014225,LEUCOM061029,LEUCOM069264,LEUCOM056074,LEUCOM041502,LEUCOM035112,LEUCOM047405,LEUCOM046560,LEUCOM034680,,LEUCOM024278;LEUCOM065719,LEUCOM061791,LEUCOM007701;LEUCOM091908,LEUCOM063361,LEUCOM052894;LEUCOM058006,LEUCOM073543,LEUCOM029905,LEUCOM034180
MNELEI,27923,Opisthokonta,Mnemiopsis leidyi,eukaryota_odb57,83.84615385,,,8.076923077,8.076923077,False,https://research.nhgri.nih.gov/mnemiopsis/download/proteome/ML2.2.aa.gz,,20220419,generic,ML2.2.aa,genome,https://research.nhgri.nih.gov/mnemiopsis/download/genome/MlScaffold09.nt.gz,MNELEI003309;MNELEI003308,MNELEI005780;MNELEI011563,MNELEI001334,MNELEI004087;MNELEI004088;MNELEI016491,MNELEI010092,MNELEI010373,MNELEI001212,MNELEI009118,MNELEI006636;MNELEI006637,MNELEI006197,MNELEI009234,MNELEI002671,MNELEI006644,MNELEI001567,MNELEI004568,MNELEI001911;MNELEI001912,MNELEI002440,MNELEI005270,,,MNELEI004956,MNELEI007946,MNELEI000194,,MNELEI011358,MNELEI008986;MNELEI008985,MNELEI005670,MNELEI011266,MNELEI014024,MNELEI008816,MNELEI010786,MNELEI009636
NEMVEC,45351,Opisthokonta,Nematostella vectensis,eukaryota_odb58,93.41085271,,,5.426356589,1.162790698,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/932/526/225/GCF_932526225.1_jaNemVect1.1/GCF_932526225.1_jaNemVect1.1_protein.faa.gz,,20221112,ensembl,GCF_932526225.1_jaNemVect1.1_protein.faa.gz,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/932/526/225/GCF_932526225.1_jaNemVect1.1/GCF_932526225.1_jaNemVect1.1_genomic.fna.gz,NEMVEC_external,NEMVEC013785;NEMVEC020706,NEMVEC_external,NEMVEC024287,NEMVEC023925,NEMVEC010624,NEMVEC011063;NEMVEC005172;NEMVEC006855,NEMVEC017135,NEMVEC021137,NEMVEC003785;NEMVEC003789,NEMVEC020355,,NEMVEC_EXTERNAL,NEMVEC021147;NEMVEC021130,NEMVEC_EXTERNAL,NEMVEC005206,NEMVEC024604,NEMVEC022851,NEMVEC006132,NEMVEC008465,NEMVEC014604,,NEMVEC006303,,NEMVEC_external,NEMVEC021466,NEMVEC020210,NEMVEC023022,NEMVEC011020,NEMVEC020523,NEMVEC_EXTERNAL,NEMVEC019859
TRIADH,10228,Opisthokonta,Trichoplax adhaerens,eukaryota_odb59,92.96875,,,4.6875,2.34375,False,ftp://ftp.ensemblgenomes.org/pub/metazoa/release-34/fasta/trichoplax_adhaerens/pep/Trichoplax_adhaerens.ASM15027v1.pep.all.fa.gz,,euk4,ensembl,Trichoplax_adhaerens.ASM15027v1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/metazoa/release-34/fasta/trichoplax_adhaerens/dna/Trichoplax_adhaerens.ASM15027v1.dna.toplevel.fa.gz,,TRIADH009846,TRIADH009425,TRIADH006332,TRIADH001065,TRIADH011014,TRIADH005156,TRIADH004442,TRIADH002992;TRIADH001313,TRIADH002443,TRIADH006758;TRIADH005006,,TRIADH010551,TRIADH004866,TRIADH009735,TRIADH004539,TRIADH011192,TRIADH005428,TRIADH004887,TRIADH003726,TRIADH007862,,,,TRIADH000786;TRIADH003902,TRIADH004892;TRIADH004837;TRIADH009824;TRIADH005704,TRIADH007020,TRIADH009696,TRIADH005991,TRIADH009640,TRIADH011277;TRIADH007310,TRIADH008190
ACAPLA,133434,Opisthokonta,Acanthaster planci,eukaryota_odb60,99.62121212,,,0.3787878788,0.0,False,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/949/145/GCF_001949145.1_OKI-Apl_1.0/GCF_001949145.1_OKI-Apl_1.0_protein.faa.gz,,20220419,gcf,GCF_001949145.1_OKI-Apl_1.0_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/949/145/GCF_001949145.1_OKI-Apl_1.0/GCF_001949145.1_OKI-Apl_1.0_genomic.fna.gz,ACAPLA022570,ACAPLA027977,ACAPLA018609,ACAPLA007465,ACAPLA011386;ACAPLA032274,ACAPLA010223,ACAPLA002691,ACAPLA026850,ACAPLA003455,ACAPLA015379,ACAPLA024524,ACAPLA017578;ACAPLA017579;ACAPLA030514,ACAPLA019528,ACAPLA000481,ACAPLA023740,ACAPLA016442,ACAPLA032828,ACAPLA017996,ACAPLA015391,ACAPLA031270,ACAPLA019207,ACAPLA000949,ACAPLA005360,ACAPLA004827;ACAPLA004833,ACAPLA012179,ACAPLA018002,ACAPLA012690,ACAPLA013037,ACAPLA025831,ACAPLA022404,ACAPLA022912;ACAPLA015384,ACAPLA006425
CIOINT,7719,Opisthokonta,Ciona intestinalis,eukaryota_odb61,85.76923077,,,6.923076923,7.307692308,False,http://ftp.ensembl.org/pub/release-105/fasta/ciona_intestinalis/pep/Ciona_intestinalis.KH.pep.all.fa.gz,,20220419,ensembl,Ciona_intestinalis.KH.pep.all.fa,genome,ftp.ensembl.org/pub/release-105/fasta/ciona_intestinalis/dna/Ciona_intestinalis.KH.dna.toplevel.fa.gz,CIOINT015915,CIOINT002342,CIOINT002270,CIOINT001110,CIOINT003035;CIOINT002998,CIOINT011009,CIOINT012463;CIOINT012461,CIOINT006859,CIOINT016563;CIOINT016559;CIOINT016564,CIOINT011297,CIOINT004010,CIOINT014040,CIOINT015969,CIOINT004037;CIOINT004053,CIOINT003915;CIOINT003914,,CIOINT015172,CIOINT000565,,,CIOINT012907,CIOINT014168,CIOINT007191,CIOINT004184,CIOINT016871,CIOINT016849,CIOINT005115,CIOINT017011,CIOINT009268,CIOINT004908,CIOINT013072,CIOINT014563;CIOINT014564
BRABEL,7741,Opisthokonta,Branchiostoma belcheri,eukaryota_odb62,99.6124031,,,0.0,0.3875968992,False,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/625/305/GCF_001625305.1_Haploidv18h27/GCF_001625305.1_Haploidv18h27_protein.faa.gz,,20220419,gcf,GCF_001625305.1_Haploidv18h27_protein.faa,genome,ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/625/305/GCF_001625305.1_Haploidv18h27/GCF_001625305.1_Haploidv18h27_genomic.fna.gz    ,BRABEL028776,BRABEL021280,BRABEL032773,BRABEL031079,BRABEL029502,BRABEL027910,BRABEL008840,BRABEL034543,BRABEL020769,BRABEL032851,BRABEL030960;BRABEL015063,BRABEL030959,BRABEL030647,BRABEL007987,BRABEL032347,BRABEL013389,BRABEL022812,BRABEL027248,BRABEL022246,BRABEL003211,BRABEL004183;BRABEL000792;BRABEL030953,BRABEL017144,BRABEL023148,BRABEL028402,BRABEL013402,BRABEL025087,BRABEL002118;BRABEL002038,BRABEL025610,BRABEL013015,BRABEL028244,BRABEL012503;BRABEL008110;BRABEL010336,BRABEL001771
DANRER,7955,Opisthokonta,Danio rerio,eukaryota_odb63,99.27007299,,,0.7299270073,0.0,False,http://ftp.ensembl.org/pub/release-105/fasta/danio_rerio/pep/Danio_rerio.GRCz11.pep.all.fa.gz,,20220419,ensembl,Danio_rerio.GRCz11.pep.all.fa,genome,http://ftp.ensembl.org/pub/release-105/fasta/danio_rerio/dna/Danio_rerio.GRCz11.dna.toplevel.fa.gz,DANRER012792,DANRER012548,DANRER037321,DANRER037859;DANRER037861;DANRER048636,DANRER021694,DANRER020365,DANRER033910,DANRER020979,DANRER023396;DANRER023398;DANRER022539,DANRER037066,DANRER003822;DANRER004859,DANRER022018;DANRER010202,DANRER026095;DANRER021493;DANRER002397;DANRER002398;DANRER002942;DANRER002943;DANRER036900;DANRER022506,DANRER026304;DANRER030331;DANRER041755,DANRER013669;DANRER026291,DANRER020799;DANRER020802;DANRER020801;DANRER020800,DANRER028338;DANRER001372;DANRER043372,DANRER029367;DANRER029366;DANRER038980,DANRER003607,DANRER026805,DANRER036959,DANRER025109;DANRER036491,DANRER011162,DANRER028005,DANRER023380,DANRER013009;DANRER015828,DANRER029814,DANRER034865,DANRER025391,DANRER031468,DANRER024786;DANRER027135,DANRER033650
HOMSAP,9606,Opisthokonta,Homo sapiens,eukaryota_odb64,100.0,,,0.0,0.0,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14_protein.faa.gz,,20220419,gcf,GCF_000001405.40_GRCh38.p14_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14_genomic.fna.gz,HOMSAP003614,HOMSAP001172,HOMSAP052218,HOMSAP055530,HOMSAP051815,HOMSAP059968,HOMSAP015412,HOMSAP052152,HOMSAP049619;HOMSAP059864,HOMSAP048835,HOMSAP006533;HOMSAP049579,HOMSAP003725,HOMSAP049214;HOMSAP003677;HOMSAP015857,HOMSAP004713;HOMSAP051962,HOMSAP058729,HOMSAP052209,HOMSAP051973,HOMSAP002461;HOMSAP082871;HOMSAP058129,HOMSAP015563;HOMSAP_external,HOMSAP058451,HOMSAP057015,HOMSAP010806;HOMSAP084778,HOMSAP050755,HOMSAP049857;HOMSAP013921;HOMSAP013930;HOMSAP013927;HOMSAP013923,HOMSAP052026,HOMSAP006618,HOMSAP053314;HOMSAP001890;HOMSAP106729,HOMSAP059561,HOMSAP046108;HOMSAP051577;HOMSAP061573;HOMSAP093747;HOMSAP003285;HOMSAP001578;HOMSAP011841;HOMSAP054324;HOMSAP059043;HOMSAP055496;HOMSAP045994;HOMSAP045992;HOMSAP045991;HOMSAP014322;HOMSAP044020;HOMSAP061080;HOMSAP040418;HOMSAP014700;HOMSAP062146;HOMSAP061196;HOMSAP059041;HOMSAP061545;HOMSAP048851;HOMSAP052829;HOMSAP002119;HOMSAP008695;HOMSAP040256;HOMSAP060615;HOMSAP008691;HOMSAP048758;HOMSAP061433;HOMSAP096273;HOMSAP048762;HOMSAP004683;HOMSAP051192;HOMSAP054961;HOMSAP059042,HOMSAP026574;HOMSAP088078;HOMSAP088080,HOMSAP019770;HOMSAP057201,HOMSAP053734;HOMSAP005220
IXOSCA,6945,Opisthokonta,Ixodes scapularis,eukaryota_odb65,98.84615385,,,0.7692307692,0.3846153846,False,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2/GCF_016920785.2_ASM1692078v2_protein.faa.gz,,20220419,gcf,GCF_016920785.2_ASM1692078v2_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2/GCF_016920785.2_ASM1692078v2_genomic.fna.gz,IXOSCA018882;IXOSCA028848,IXOSCA013396,IXOSCA005102,IXOSCA002226,IXOSCA030355,IXOSCA022795,IXOSCA032422,IXOSCA011725,IXOSCA008515,IXOSCA029049;IXOSCA026611;IXOSCA029050,IXOSCA013209,IXOSCA018678;IXOSCA026721,IXOSCA000155,IXOSCA016249,IXOSCA000938,IXOSCA002076,IXOSCA011113,IXOSCA020923,,IXOSCA003792,IXOSCA026314;IXOSCA016287;IXOSCA022931;IXOSCA020147;IXOSCA004301,IXOSCA030313,IXOSCA010040,IXOSCA002581,IXOSCA026458,IXOSCA005563,IXOSCA001442,IXOSCA012581,IXOSCA008583,IXOSCA008367,,
DAPMAG,35525,Opisthokonta,Daphnia magna,eukaryota_odb66,92.54901961,,,1.960784314,5.490196078,False,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/505/GCA_001632505.1_daphmag2.4/GCA_001632505.1_daphmag2.4_protein.faa.gz,,20220419,gcf,GCA_001632505.1_daphmag2.4_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/505/GCA_001632505.1_daphmag2.4/GCA_001632505.1_daphmag2.4_genomic.fna.gz,DAPMAG014451,DAPMAG007532,DAPMAG023216,DAPMAG022938,DAPMAG014143,DAPMAG017526,DAPMAG025944,DAPMAG025476;DAPMAG025475,DAPMAG017754,DAPMAG013541;DAPMAG013128,DAPMAG026611,DAPMAG023325,DAPMAG011822,DAPMAG020736,DAPMAG015683,DAPMAG026085,DAPMAG011229,DAPMAG010043,,DAPMAG025355,,,DAPMAG010288;DAPMAG013835,DAPMAG011843,DAPMAG007817;DAPMAG002542;DAPMAG005594;DAPMAG003291;DAPMAG007816,DAPMAG022734;DAPMAG005096,DAPMAG020791,DAPMAG005330,DAPMAG016672,DAPMAG019451,DAPMAG017967,DAPMAG019952
